X,Y,Z,tempo
692350.3995,9272257.137,-0.6,12:08:50
692350.3995,9272257.137,-0.6,12:08:51
692350.3995,9272257.137,-0.6,12:08:52
692350.3995,9272257.137,-0.6,12:08:53
692350.3995,9272257.137,-0.6,12:08:54
692350.3995,9272257.137,-0.6,12:08:55
692350.3995,9272257.137,-0.6,12:08:56
692350.3995,9272257.137,-0.6,12:08:57
692350.3995,9272257.137,-0.6,12:08:58
692350.3995,9272257.137,-0.6,12:08:59
692350.3995,9272257.137,-0.6,12:09:00
692350.3995,9272257.137,-0.6,12:09:01
692350.3995,9272257.137,-0.6,12:09:02
692350.3995,9272257.137,-0.6,12:09:03
692350.3995,9272257.137,-0.6,12:09:04
692350.3995,9272257.137,-0.6,12:09:05
692350.3995,9272257.137,-0.6,12:09:06
692350.3995,9272257.137,-0.6,12:09:07
692350.3995,9272257.137,-0.6,12:09:08
692350.3995,9272257.137,-0.6,12:09:09
692350.3995,9272257.137,-0.6,12:09:10
692350.3995,9272257.137,-0.6,12:09:11
692350.3995,9272257.137,-0.6,12:09:12
692350.3995,9272257.137,-0.6,12:09:13
692350.3995,9272257.137,-0.6,12:09:14
692350.3995,9272257.137,-0.6,12:09:15
692350.3995,9272257.137,-0.6,12:09:16
692350.3995,9272257.137,-0.6,12:09:17
692350.3995,9272257.137,-0.6,12:09:18
692350.3995,9272257.137,-0.6,12:09:19
692350.3995,9272257.137,-0.6,12:09:20
692350.3995,9272257.137,-0.6,12:09:21
692350.3995,9272257.137,-0.6,12:09:22
692350.3995,9272257.137,-0.6,12:09:23
692350.3995,9272257.137,-0.6,12:09:24
692350.3995,9272257.137,-0.6,12:09:25
692350.3995,9272257.137,-0.6,12:09:26
692350.3995,9272257.137,-0.6,12:09:27
692350.3995,9272257.137,-0.6,12:09:28
692350.3995,9272257.137,-0.6,12:09:29
692350.3995,9272257.137,-0.6,12:09:30
692350.3995,9272257.137,-0.6,12:09:31
692350.3995,9272257.137,-0.6,12:09:32
692350.3995,9272257.137,-0.6,12:09:33
692350.3995,9272257.137,-0.6,12:09:34
692350.3995,9272257.137,-0.6,12:09:35
692350.3995,9272257.137,-0.6,12:09:36
692350.3995,9272257.137,-0.6,12:09:37
692350.3995,9272257.137,-0.6,12:09:38
692350.3995,9272257.137,-0.6,12:09:39
692350.3995,9272257.137,-0.6,12:09:40
692350.3995,9272257.137,-0.6,12:09:41
692350.3995,9272257.137,-0.6,12:09:42
692350.3995,9272257.137,-0.6,12:09:43
692350.3995,9272257.137,-0.6,12:09:44
692350.3995,9272257.137,-0.6,12:09:45
692350.3995,9272257.137,-0.6,12:09:46
692350.3995,9272257.137,-0.6,12:09:47
692350.3995,9272257.137,-0.6,12:09:48
692350.3995,9272257.137,-0.6,12:09:49
692350.3995,9272257.137,-0.6,12:09:50
692350.3995,9272257.137,-0.6,12:09:51
692349.555,9272256.929,-0.6,12:09:52
692349.555,9272256.929,-0.6,12:09:53
692349.555,9272256.929,-0.6,12:09:54
692349.555,9272256.929,-0.6,12:09:55
692349.555,9272256.929,-0.6,12:09:56
692349.555,9272256.929,-0.6,12:09:57
692349.555,9272256.929,-0.6,12:09:58
692349.555,9272256.929,-0.6,12:09:59
692349.555,9272256.929,-0.6,12:10:00
692349.555,9272256.929,-0.6,12:10:01
692349.555,9272256.929,-0.6,12:10:02
692349.9769,9272256.927,-0.6,12:10:03
692349.9769,9272256.927,-0.6,12:10:04
692349.9769,9272256.927,-0.6,12:10:05
692349.9769,9272256.927,-0.6,12:10:06
692349.9769,9272256.927,-0.6,12:10:07
692349.9769,9272256.927,-0.6,12:10:08
692349.9769,9272256.927,-0.6,12:10:09
692349.9769,9272256.927,-0.6,12:10:10
692349.9769,9272256.927,-0.6,12:10:11
692349.9769,9272256.927,-0.6,12:10:12
